noise_sigma,strategy,win,seed,threshold_val,total_bytes_mbit,recall,med_latency,miss_rate
0.02,Binary,0,0,0.1,3380.7200000000003,1.0,0.0,0.0
0.02,Smooth,2,0,0.1,2076.2000000000003,1.0,0.0,0.0
0.02,Smooth,3,0,0.1,1844.64,0.9992900248491303,0.0,0.0
0.02,Smooth,5,0,0.1,1677.13,0.9687610933617323,0.0,0.0
0.02,MGL,2,0,0.1,3380.7200000000003,1.0,0.0,0.0
0.02,MGL,3,0,0.1,3380.7200000000003,1.0,0.0,0.0
0.02,MGL,5,0,0.1,3380.7200000000003,1.0,0.0,0.0
0.02,Binary,0,0,0.15000000000000002,937.5100000000001,1.0,0.0,0.0
0.02,Smooth,2,0,0.15000000000000002,723.3800000000001,0.9971600993965212,0.0,0.0
0.02,Smooth,3,0,0.15000000000000002,682.1500000000001,0.9609513667021654,0.0,0.0
0.02,Smooth,5,0,0.15000000000000002,634.97,0.8690095846645367,0.0,0.0
0.02,MGL,2,0,0.15000000000000002,937.5100000000001,1.0,0.0,0.0
0.02,MGL,3,0,0.15000000000000002,937.5100000000001,1.0,0.0,0.0
0.02,MGL,5,0,0.15000000000000002,937.5100000000001,1.0,0.0,0.0
0.02,Binary,0,0,0.2,392.56000000000006,0.9992900248491303,0.0,0.0
0.02,Smooth,2,0,0.2,349.79,0.9538516151934683,0.0,0.0
0.02,Smooth,3,0,0.2,330.82000000000005,0.8697195598154065,0.0,0.0
0.02,Smooth,5,0,0.2,304.08000000000004,0.7426340078097267,1.0,0.0
0.02,MGL,2,0,0.2,392.56000000000006,0.9992900248491303,0.0,0.0
0.02,MGL,3,0,0.2,392.56000000000006,0.9992900248491303,0.0,0.0
0.02,MGL,5,0,0.2,392.56000000000006,0.9992900248491303,0.0,0.0
0.02,Binary,0,0,0.25,205.73000000000002,0.9219027334043308,0.0,0.0
0.02,Smooth,2,0,0.25,189.77,0.7884274050408235,0.0,0.0
0.02,Smooth,3,0,0.25,179.20000000000002,0.7018104366347178,1.0,0.0
0.02,Smooth,5,0,0.25,167.37,0.5541356052538161,2.0,0.10249307479224377
0.02,MGL,2,0,0.25,639.5325,0.9889953851615193,0.0,0.0
0.02,MGL,3,0,0.25,542.2325000000001,0.9779907703230387,0.0,0.0
0.02,MGL,5,0,0.25,430.37250000000006,0.9634362797302094,0.0,0.0
0.02,Binary,0,0,0.30000000000000004,119.98000000000002,0.6077387291444799,0.0,0.04155124653739612
0.02,Smooth,2,0,0.30000000000000004,108.01,0.5047923322683706,1.0,0.11634349030470914
0.02,Smooth,3,0,0.30000000000000004,101.50000000000001,0.44231451899183527,1.0,0.18005540166204986
0.02,Smooth,5,0,0.30000000000000004,92.05000000000001,0.32800851970181044,2.0,0.3573407202216066
0.02,MGL,2,0,0.30000000000000004,418.46750000000003,0.9148029818956337,0.0,0.0
0.02,MGL,3,0,0.30000000000000004,350.21750000000003,0.8604898828541001,0.0,0.0332409972299169
0.02,MGL,5,0,0.30000000000000004,269.71750000000003,0.7752928647497338,0.0,0.04155124653739612
0.02,Binary,0,0,0.3500000000000001,75.39,0.38232161874334397,0.0,0.26869806094182824
0.02,Smooth,2,0,0.3500000000000001,68.18,0.32658856940007097,1.0,0.37950138504155123
0.02,Smooth,3,0,0.3500000000000001,65.17,0.28647497337593186,2.0,0.4182825484764543
0.02,Smooth,5,0,0.3500000000000001,59.85000000000001,0.21192758253461128,3.0,0.5290858725761773
0.02,MGL,2,0,0.3500000000000001,284.035,0.8285410010649628,1.0,0.0
0.02,MGL,3,0,0.3500000000000001,237.555,0.7458288959886404,1.0,0.09695290858725762
0.02,MGL,5,0,0.3500000000000001,182.04500000000002,0.6134185303514377,0.0,0.20498614958448755
0.02,Binary,0,0,0.4,53.34,0.27050053248136313,0.5,0.42382271468144045
0.02,Smooth,2,0,0.4,48.790000000000006,0.23713170039048634,1.0,0.5318559556786704
0.02,Smooth,3,0,0.4,46.550000000000004,0.20411785587504438,2.0,0.5457063711911357
0.02,Smooth,5,0,0.4,40.25000000000001,0.13880014199503019,3.0,0.6149584487534626
0.02,MGL,2,0,0.4,202.93500000000003,0.7394391196308129,2.0,0.0
0.02,MGL,3,0,0.4,169.82500000000002,0.6435924742634008,1.0,0.12465373961218837
0.02,MGL,5,0,0.4,128.66500000000002,0.5008874689385872,1.0,0.31301939058171746
0.02,Binary,0,0,0.45000000000000007,40.74,0.2066027689030884,1.0,0.5429362880886427
0.02,Smooth,2,0,0.45000000000000007,35.77,0.17429889953851616,1.0,0.6149584487534626
0.02,Smooth,3,0,0.45000000000000007,32.760000000000005,0.14447994320198793,2.0,0.628808864265928
0.02,Smooth,5,0,0.45000000000000007,25.900000000000002,0.08413205537806177,3.0,0.6842105263157895
0.02,MGL,2,0,0.45000000000000007,151.84750000000003,0.6478523251686191,2.0,0.00554016620498615
0.02,MGL,3,0,0.45000000000000007,127.7675,0.5509407170749023,3.0,0.1523545706371191
0.02,MGL,5,0,0.45000000000000007,94.8675,0.40930067447639334,1.0,0.3961218836565097
0.02,Binary,0,0,0.5000000000000001,30.660000000000004,0.1554845580404686,1.0,0.6204986149584487
0.02,Smooth,2,0,0.5000000000000001,27.720000000000002,0.1359602413915513,1.0,0.6759002770083102
0.02,Smooth,3,0,0.5000000000000001,24.570000000000004,0.10933617323393681,2.0,0.6925207756232687
0.02,Smooth,5,0,0.5000000000000001,17.360000000000003,0.055023074192403265,3.0,0.7562326869806094
0.02,MGL,2,0,0.5000000000000001,112.86250000000001,0.5232516861909833,2.0,0.08033240997229917
0.02,MGL,3,0,0.5000000000000001,93.33250000000001,0.43024494142705005,3.0,0.21606648199445982
0.02,MGL,5,0,0.5000000000000001,66.52250000000001,0.2999645012424565,1.0,0.46814404432132967
0.02,Binary,0,0,0.55,23.730000000000004,0.12034078807241747,1.0,0.6814404432132964
0.02,Smooth,2,0,0.55,22.19,0.10969116080937168,1.0,0.7340720221606648
0.02,Smooth,3,0,0.55,18.62,0.08413205537806177,2.0,0.7451523545706371
0.02,Smooth,5,0,0.55,12.670000000000002,0.042598509052183174,3.0,0.8060941828254847
0.02,MGL,2,0,0.55,82.8675,0.39581114660986866,2.0,0.24930747922437674
0.02,MGL,3,0,0.55,67.8875,0.3201987930422435,3.0,0.3573407202216066
0.02,MGL,5,0,0.55,47.79750000000001,0.21867234646787362,1.0,0.5650969529085873
0.02,Binary,0,1,0.1,3385.0600000000004,1.0,0.0,0.0
0.02,Smooth,2,1,0.1,2083.8300000000004,1.0,0.0,0.0
0.02,Smooth,3,1,0.1,1855.8400000000001,0.9992900248491303,0.0,0.0
0.02,Smooth,5,1,0.1,1677.7600000000002,0.972310969116081,0.0,0.0
0.02,MGL,2,1,0.1,3385.0600000000004,1.0,0.0,0.0
0.02,MGL,3,1,0.1,3385.0600000000004,1.0,0.0,0.0
0.02,MGL,5,1,0.1,3385.0600000000004,1.0,0.0,0.0
0.02,Binary,0,1,0.15000000000000002,930.9300000000001,1.0,0.0,0.0
0.02,Smooth,2,1,0.15000000000000002,724.0100000000001,0.9950301739439119,0.0,0.0
0.02,Smooth,3,1,0.15000000000000002,680.61,0.9627263045793397,0.0,0.0
0.02,Smooth,5,1,0.15000000000000002,635.8800000000001,0.8668796592119276,0.0,0.0
0.02,MGL,2,1,0.15000000000000002,930.9300000000001,1.0,0.0,0.0
0.02,MGL,3,1,0.15000000000000002,930.9300000000001,1.0,0.0,0.0
0.02,MGL,5,1,0.15000000000000002,930.9300000000001,1.0,0.0,0.0
0.02,Binary,0,1,0.2,385.84000000000003,1.0,0.0,0.0
0.02,Smooth,2,1,0.2,347.69000000000005,0.951721689740859,0.0,0.0
0.02,Smooth,3,1,0.2,332.78000000000003,0.873269435569755,0.0,0.0
0.02,Smooth,5,1,0.2,306.53000000000003,0.7397941072062478,1.0,0.00554016620498615
0.02,MGL,2,1,0.2,385.84000000000003,1.0,0.0,0.0
0.02,MGL,3,1,0.2,385.84000000000003,1.0,0.0,0.0
0.02,MGL,5,1,0.2,385.84000000000003,1.0,0.0,0.0
0.02,Binary,0,1,0.25,202.51000000000002,0.9194178203762868,0.0,0.0
0.02,Smooth,2,1,0.25,189.49,0.7880724174653887,0.0,0.0
0.02,Smooth,3,1,0.25,178.22000000000003,0.7000354987575435,1.0,0.00554016620498615
