part,param,noise_sigma,strategy,seed,threshold_val,total_bytes_mbit,recall
A,rho=0.0,0.02,Binary,0,0.1,1028.0900000000001,1.0
A,rho=0.0,0.02,MGL,0,0.1,1028.0900000000001,1.0
A,rho=0.0,0.02,Binary,0,0.15000000000000002,245.14000000000001,1.0
A,rho=0.0,0.02,MGL,0,0.15000000000000002,245.14000000000001,1.0
A,rho=0.0,0.02,Binary,0,0.2,72.31,1.0
A,rho=0.0,0.02,MGL,0,0.2,72.31,1.0
A,rho=0.0,0.02,Binary,0,0.25,24.01,0.8417721518987342
A,rho=0.0,0.02,MGL,0,0.25,133.59250000000003,0.9525316455696202
A,rho=0.0,0.02,Binary,0,0.30000000000000004,8.260000000000002,0.370253164556962
A,rho=0.0,0.02,MGL,0,0.30000000000000004,67.19,0.7784810126582279
A,rho=0.0,0.02,Binary,0,0.3500000000000001,2.45,0.11075949367088607
A,rho=0.0,0.02,MGL,0,0.3500000000000001,33.24,0.5949367088607594
A,rho=0.0,0.02,Binary,0,0.4,0.7000000000000001,0.03164556962025317
A,rho=0.0,0.02,MGL,0,0.4,17.6075,0.4177215189873418
A,rho=0.0,0.02,Binary,0,0.45000000000000007,0.14,0.006329113924050633
A,rho=0.0,0.02,MGL,0,0.45000000000000007,9.260000000000002,0.27848101265822783
A,rho=0.0,0.02,Binary,0,0.5000000000000001,0.0,0.0
A,rho=0.0,0.02,MGL,0,0.5000000000000001,4.6375,0.15822784810126583
A,rho=0.0,0.02,Binary,0,0.55,0.0,0.0
A,rho=0.0,0.02,MGL,0,0.55,1.8075,0.060126582278481014
A,rho=0.0,0.02,Binary,1,0.1,1026.13,1.0
A,rho=0.0,0.02,MGL,1,0.1,1026.13,1.0
A,rho=0.0,0.02,Binary,1,0.15000000000000002,241.99,1.0
A,rho=0.0,0.02,MGL,1,0.15000000000000002,241.99,1.0
A,rho=0.0,0.02,Binary,1,0.2,69.79,1.0
A,rho=0.0,0.02,MGL,1,0.2,69.79,1.0
A,rho=0.0,0.02,Binary,1,0.25,23.03,0.879746835443038
A,rho=0.0,0.02,MGL,1,0.25,134.705,0.9525316455696202
A,rho=0.0,0.02,Binary,1,0.30000000000000004,7.5600000000000005,0.34177215189873417
A,rho=0.0,0.02,MGL,1,0.30000000000000004,67.8725,0.8037974683544303
A,rho=0.0,0.02,Binary,1,0.3500000000000001,2.24,0.10126582278481013
A,rho=0.0,0.02,MGL,1,0.3500000000000001,33.24,0.5949367088607594
A,rho=0.0,0.02,Binary,1,0.4,0.6300000000000001,0.028481012658227847
A,rho=0.0,0.02,MGL,1,0.4,17.380000000000003,0.4462025316455696
A,rho=0.0,0.02,Binary,1,0.45000000000000007,0.35000000000000003,0.015822784810126583
A,rho=0.0,0.02,MGL,1,0.45000000000000007,9.83,0.31329113924050633
A,rho=0.0,0.02,Binary,1,0.5000000000000001,0.0,0.0
A,rho=0.0,0.02,MGL,1,0.5000000000000001,5.2325,0.18354430379746836
A,rho=0.0,0.02,Binary,1,0.55,0.0,0.0
A,rho=0.0,0.02,MGL,1,0.55,1.4875000000000003,0.04430379746835443
A,rho=0.0,0.02,Binary,2,0.1,1030.4,1.0
A,rho=0.0,0.02,MGL,2,0.1,1030.4,1.0
A,rho=0.0,0.02,Binary,2,0.15000000000000002,243.04000000000002,1.0
A,rho=0.0,0.02,MGL,2,0.15000000000000002,243.04000000000002,1.0
A,rho=0.0,0.02,Binary,2,0.2,69.65,1.0
A,rho=0.0,0.02,MGL,2,0.2,69.65,1.0
A,rho=0.0,0.02,Binary,2,0.25,23.87,0.8449367088607594
A,rho=0.0,0.02,MGL,2,0.25,134.245,0.9651898734177216
A,rho=0.0,0.02,Binary,2,0.30000000000000004,7.840000000000001,0.35443037974683544
A,rho=0.0,0.02,MGL,2,0.30000000000000004,66.78000000000002,0.7721518987341772
A,rho=0.0,0.02,Binary,2,0.3500000000000001,2.24,0.10126582278481013
A,rho=0.0,0.02,MGL,2,0.3500000000000001,33.13250000000001,0.5886075949367089
A,rho=0.0,0.02,Binary,2,0.4,0.7000000000000001,0.03164556962025317
A,rho=0.0,0.02,MGL,2,0.4,15.902500000000002,0.3924050632911392
A,rho=0.0,0.02,Binary,2,0.45000000000000007,0.07,0.0031645569620253164
A,rho=0.0,0.02,MGL,2,0.45000000000000007,8.477500000000001,0.2626582278481013
A,rho=0.0,0.02,Binary,2,0.5000000000000001,0.0,0.0
A,rho=0.0,0.02,MGL,2,0.5000000000000001,4.142500000000001,0.13924050632911392
A,rho=0.0,0.02,Binary,2,0.55,0.0,0.0
A,rho=0.0,0.02,MGL,2,0.55,1.4525000000000001,0.04430379746835443
A,rho=0.0,0.02,Binary,3,0.1,1032.99,1.0
A,rho=0.0,0.02,MGL,3,0.1,1032.99,1.0
A,rho=0.0,0.02,Binary,3,0.15000000000000002,243.25000000000003,1.0
A,rho=0.0,0.02,MGL,3,0.15000000000000002,243.25000000000003,1.0
A,rho=0.0,0.02,Binary,3,0.2,70.14,1.0
A,rho=0.0,0.02,MGL,3,0.2,70.14,1.0
A,rho=0.0,0.02,Binary,3,0.25,23.94,0.8734177215189873
A,rho=0.0,0.02,MGL,3,0.25,131.995,0.9588607594936709
A,rho=0.0,0.02,Binary,3,0.30000000000000004,8.05,0.36075949367088606
