dd_tau,noise_sigma,strategy,seed,threshold_val,total_bytes_mbit,recall
0.15,0.02,Binary,0,0.1,1028.0900000000001,1.0
0.15,0.02,MGL,0,0.1,1028.0900000000001,1.0
0.15,0.02,Binary,0,0.15000000000000002,245.14000000000001,1.0
0.15,0.02,MGL,0,0.15000000000000002,599.1225000000001,1.0
0.15,0.02,Binary,0,0.2,72.31,1.0
0.15,0.02,MGL,0,0.2,270.875,1.0
0.15,0.02,Binary,0,0.25,24.01,0.8417721518987342
0.15,0.02,MGL,0,0.25,133.59250000000003,0.9525316455696202
0.15,0.02,Binary,0,0.30000000000000004,8.260000000000002,0.370253164556962
0.15,0.02,MGL,0,0.30000000000000004,67.19,0.7784810126582279
0.15,0.02,Binary,0,0.3500000000000001,2.45,0.11075949367088607
0.15,0.02,MGL,0,0.3500000000000001,33.24,0.5949367088607594
0.15,0.02,Binary,0,0.4,0.7000000000000001,0.03164556962025317
0.15,0.02,MGL,0,0.4,17.6075,0.4177215189873418
0.15,0.02,Binary,0,0.45000000000000007,0.14,0.006329113924050633
0.15,0.02,MGL,0,0.45000000000000007,9.260000000000002,0.27848101265822783
0.15,0.02,Binary,0,0.5000000000000001,0.0,0.0
0.15,0.02,MGL,0,0.5000000000000001,4.6375,0.15822784810126583
0.15,0.02,Binary,0,0.55,0.0,0.0
0.15,0.02,MGL,0,0.55,1.8075,0.060126582278481014
0.15,0.02,Binary,1,0.1,1026.13,1.0
0.15,0.02,MGL,1,0.1,1026.13,1.0
0.15,0.02,Binary,1,0.15000000000000002,241.99,1.0
0.15,0.02,MGL,1,0.15000000000000002,594.8824999999999,1.0
0.15,0.02,Binary,1,0.2,69.79,1.0
0.15,0.02,MGL,1,0.2,267.74500000000006,1.0
0.15,0.02,Binary,1,0.25,23.03,0.879746835443038
0.15,0.02,MGL,1,0.25,134.705,0.9525316455696202
0.15,0.02,Binary,1,0.30000000000000004,7.5600000000000005,0.34177215189873417
0.15,0.02,MGL,1,0.30000000000000004,67.8725,0.8037974683544303
0.15,0.02,Binary,1,0.3500000000000001,2.24,0.10126582278481013
0.15,0.02,MGL,1,0.3500000000000001,33.24,0.5949367088607594
0.15,0.02,Binary,1,0.4,0.6300000000000001,0.028481012658227847
0.15,0.02,MGL,1,0.4,17.380000000000003,0.4462025316455696
0.15,0.02,Binary,1,0.45000000000000007,0.35000000000000003,0.015822784810126583
0.15,0.02,MGL,1,0.45000000000000007,9.83,0.31329113924050633
0.15,0.02,Binary,1,0.5000000000000001,0.0,0.0
0.15,0.02,MGL,1,0.5000000000000001,5.2325,0.18354430379746836
0.15,0.02,Binary,1,0.55,0.0,0.0
0.15,0.02,MGL,1,0.55,1.4875000000000003,0.04430379746835443
0.15,0.02,Binary,2,0.1,1030.4,1.0
0.15,0.02,MGL,2,0.1,1030.4,1.0
0.15,0.02,Binary,2,0.15000000000000002,243.04000000000002,1.0
0.15,0.02,MGL,2,0.15000000000000002,595.1750000000002,1.0
0.15,0.02,Binary,2,0.2,69.65,1.0
0.15,0.02,MGL,2,0.2,273.15250000000003,1.0
0.15,0.02,Binary,2,0.25,23.87,0.8449367088607594
0.15,0.02,MGL,2,0.25,134.245,0.9651898734177216
0.15,0.02,Binary,2,0.30000000000000004,7.840000000000001,0.35443037974683544
0.15,0.02,MGL,2,0.30000000000000004,66.78000000000002,0.7721518987341772
0.15,0.02,Binary,2,0.3500000000000001,2.24,0.10126582278481013
0.15,0.02,MGL,2,0.3500000000000001,33.13250000000001,0.5886075949367089
0.15,0.02,Binary,2,0.4,0.7000000000000001,0.03164556962025317
0.15,0.02,MGL,2,0.4,15.902500000000002,0.3924050632911392
0.15,0.02,Binary,2,0.45000000000000007,0.07,0.0031645569620253164
0.15,0.02,MGL,2,0.45000000000000007,8.477500000000001,0.2626582278481013
0.15,0.02,Binary,2,0.5000000000000001,0.0,0.0
0.15,0.02,MGL,2,0.5000000000000001,4.142500000000001,0.13924050632911392
0.15,0.02,Binary,2,0.55,0.0,0.0
0.15,0.02,MGL,2,0.55,1.4525000000000001,0.04430379746835443
0.15,0.02,Binary,3,0.1,1032.99,1.0
0.15,0.02,MGL,3,0.1,1032.99,1.0
0.15,0.02,Binary,3,0.15000000000000002,243.25000000000003,1.0
0.15,0.02,MGL,3,0.15000000000000002,596.5350000000001,1.0
0.15,0.02,Binary,3,0.2,70.14,1.0
0.15,0.02,MGL,3,0.2,270.4275,1.0
0.15,0.02,Binary,3,0.25,23.94,0.8734177215189873
0.15,0.02,MGL,3,0.25,131.995,0.9588607594936709
0.15,0.02,Binary,3,0.30000000000000004,8.05,0.36075949367088606
0.15,0.02,MGL,3,0.30000000000000004,66.29,0.7563291139240507
0.15,0.02,Binary,3,0.3500000000000001,2.5200000000000005,0.11392405063291139
0.15,0.02,MGL,3,0.3500000000000001,32.25750000000001,0.5727848101265823
0.15,0.02,Binary,3,0.4,0.6300000000000001,0.028481012658227847
0.15,0.02,MGL,3,0.4,16.202500000000004,0.3829113924050633
0.15,0.02,Binary,3,0.45000000000000007,0.21000000000000002,0.00949367088607595
0.15,0.02,MGL,3,0.45000000000000007,9.045000000000002,0.2974683544303797
0.15,0.02,Binary,3,0.5000000000000001,0.0,0.0
0.15,0.02,MGL,3,0.5000000000000001,5.055000000000001,0.18037974683544303
0.15,0.02,Binary,3,0.55,0.0,0.0
0.15,0.02,MGL,3,0.55,2.3275000000000006,0.08227848101265822
0.15,0.02,Binary,4,0.1,1025.92,1.0
0.15,0.02,MGL,4,0.1,1025.92,1.0
0.15,0.02,Binary,4,0.15000000000000002,244.37000000000003,1.0
0.15,0.02,MGL,4,0.15000000000000002,595.4000000000001,1.0
0.15,0.02,Binary,4,0.2,69.16000000000001,0.9968354430379747
0.15,0.02,MGL,4,0.2,268.88000000000005,1.0
0.15,0.02,Binary,4,0.25,24.01,0.879746835443038
0.15,0.02,MGL,4,0.25,133.7675,0.9525316455696202
0.15,0.02,Binary,4,0.30000000000000004,8.260000000000002,0.370253164556962
0.15,0.02,MGL,4,0.30000000000000004,68.63250000000001,0.7974683544303798
0.15,0.02,Binary,4,0.3500000000000001,1.9600000000000002,0.08860759493670886
0.15,0.02,MGL,4,0.3500000000000001,33.837500000000006,0.5791139240506329
0.15,0.02,Binary,4,0.4,0.9100000000000001,0.04113924050632911
0.15,0.02,MGL,4,0.4,17.4875,0.4240506329113924
0.15,0.02,Binary,4,0.45000000000000007,0.07,0.0031645569620253164
0.15,0.02,MGL,4,0.45000000000000007,8.665000000000001,0.2689873417721519
0.15,0.02,Binary,4,0.5000000000000001,0.0,0.0
0.15,0.02,MGL,4,0.5000000000000001,4.6375,0.15822784810126583
0.15,0.02,Binary,4,0.55,0.0,0.0
0.15,0.02,MGL,4,0.55,2.17,0.06962025316455696
0.15,0.02,Binary,5,0.1,1034.5300000000002,1.0
0.15,0.02,MGL,5,0.1,1034.5300000000002,1.0
0.15,0.02,Binary,5,0.15000000000000002,241.08,1.0
0.15,0.02,MGL,5,0.15000000000000002,598.0300000000001,1.0
0.15,0.02,Binary,5,0.2,69.30000000000001,1.0
0.15,0.02,MGL,5,0.2,269.1125,1.0
0.15,0.02,Binary,5,0.25,23.380000000000003,0.8386075949367089
0.15,0.02,MGL,5,0.25,135.04000000000002,0.9683544303797469
0.15,0.02,Binary,5,0.30000000000000004,8.47,0.3829113924050633
0.15,0.02,MGL,5,0.30000000000000004,66.1275,0.7721518987341772
0.15,0.02,Binary,5,0.3500000000000001,2.1700000000000004,0.0981012658227848
0.15,0.02,MGL,5,0.3500000000000001,32.510000000000005,0.5822784810126582
0.15,0.02,Binary,5,0.4,0.6300000000000001,0.028481012658227847
0.15,0.02,MGL,5,0.4,16.872500000000002,0.4177215189873418
0.15,0.02,Binary,5,0.45000000000000007,0.14,0.006329113924050633
0.15,0.02,MGL,5,0.45000000000000007,9.475000000000001,0.27531645569620256
0.15,0.02,Binary,5,0.5000000000000001,0.0,0.0
0.15,0.02,MGL,5,0.5000000000000001,4.965000000000001,0.17405063291139242
0.15,0.02,Binary,5,0.55,0.0,0.0
0.15,0.02,MGL,5,0.55,2.2325000000000004,0.07911392405063292
0.15,0.02,Binary,6,0.1,1037.4,1.0
0.15,0.02,MGL,6,0.1,1037.4,1.0
0.15,0.02,Binary,6,0.15000000000000002,238.77,1.0
0.15,0.02,MGL,6,0.15000000000000002,593.7275000000001,1.0
0.15,0.02,Binary,6,0.2,71.19000000000001,1.0
0.15,0.02,MGL,6,0.2,272.2975,1.0
0.15,0.02,Binary,6,0.25,24.080000000000002,0.8449367088607594
0.15,0.02,MGL,6,0.25,134.4375,0.9651898734177216
0.15,0.02,Binary,6,0.30000000000000004,7.700000000000001,0.34810126582278483
0.15,0.02,MGL,6,0.30000000000000004,68.1025,0.7879746835443038
0.15,0.02,Binary,6,0.3500000000000001,2.66,0.12025316455696203
0.15,0.02,MGL,6,0.3500000000000001,32.745000000000005,0.5664556962025317
0.15,0.02,Binary,6,0.4,0.6300000000000001,0.028481012658227847
0.15,0.02,MGL,6,0.4,17.290000000000003,0.4430379746835443
0.15,0.02,Binary,6,0.45000000000000007,0.21000000000000002,0.00949367088607595
0.15,0.02,MGL,6,0.45000000000000007,8.672500000000001,0.2721518987341772
0.15,0.02,Binary,6,0.5000000000000001,0.0,0.0
0.15,0.02,MGL,6,0.5000000000000001,4.430000000000001,0.1550632911392405
0.15,0.02,Binary,6,0.55,0.0,0.0
0.15,0.02,MGL,6,0.55,1.9675000000000002,0.06645569620253164
0.15,0.02,Binary,7,0.1,1022.2800000000001,1.0
0.15,0.02,MGL,7,0.1,1022.2800000000001,1.0
0.15,0.02,Binary,7,0.15000000000000002,240.52,1.0
0.15,0.02,MGL,7,0.15000000000000002,601.9275,1.0
0.15,0.02,Binary,7,0.2,67.83000000000001,1.0
0.15,0.02,MGL,7,0.2,269.4275,1.0
0.15,0.02,Binary,7,0.25,23.310000000000002,0.8670886075949367
0.15,0.02,MGL,7,0.25,133.5875,0.9683544303797469
0.15,0.02,Binary,7,0.30000000000000004,8.33,0.37341772151898733
0.15,0.02,MGL,7,0.30000000000000004,67.8625,0.7911392405063291
0.15,0.02,Binary,7,0.3500000000000001,2.31,0.10443037974683544
0.15,0.02,MGL,7,0.3500000000000001,33.627500000000005,0.5569620253164557
0.15,0.02,Binary,7,0.4,0.7000000000000001,0.03164556962025317
