noise_sigma,strategy,win,seed,threshold_val,total_bytes_mbit,recall,med_latency,miss_rate
0.02,Binary,0,0,0.1,1028.0900000000001,1.0,0.0,0.0
0.02,Smooth,2,0,0.1,623.7700000000001,1.0,0.0,0.0
0.02,Smooth,3,0,0.1,540.75,0.9968354430379747,0.0,0.0
0.02,Smooth,5,0,0.1,467.88000000000005,0.9335443037974683,0.0,0.0
0.02,MGL,2,0,0.1,1028.0900000000001,1.0,0.0,0.0
0.02,MGL,3,0,0.1,1028.0900000000001,1.0,0.0,0.0
0.02,MGL,5,0,0.1,1028.0900000000001,1.0,0.0,0.0
0.02,Binary,0,0,0.15000000000000002,245.14000000000001,1.0,0.0,0.0
0.02,Smooth,2,0,0.15000000000000002,170.66000000000003,0.9968354430379747,0.0,0.0
0.02,Smooth,3,0,0.15000000000000002,152.60000000000002,0.9113924050632911,0.0,0.0
0.02,Smooth,5,0,0.15000000000000002,125.16000000000001,0.740506329113924,0.0,0.0
0.02,MGL,2,0,0.15000000000000002,245.14000000000001,1.0,0.0,0.0
0.02,MGL,3,0,0.15000000000000002,245.14000000000001,1.0,0.0,0.0
0.02,MGL,5,0,0.15000000000000002,245.14000000000001,1.0,0.0,0.0
0.02,Binary,0,0,0.2,72.31,1.0,0.0,0.0
0.02,Smooth,2,0,0.2,53.13,0.8892405063291139,0.0,0.0
0.02,Smooth,3,0,0.2,43.68000000000001,0.680379746835443,1.0,0.0
0.02,Smooth,5,0,0.2,31.080000000000002,0.4240506329113924,2.0,0.0
0.02,MGL,2,0,0.2,72.31,1.0,0.0,0.0
0.02,MGL,3,0,0.2,72.31,1.0,0.0,0.0
0.02,MGL,5,0,0.2,72.31,1.0,0.0,0.0
0.02,Binary,0,0,0.25,24.01,0.8417721518987342,0.0,0.0
0.02,Smooth,2,0,0.25,18.62,0.5886075949367089,0.0,0.0
0.02,Smooth,3,0,0.25,14.770000000000001,0.41455696202531644,1.0,0.0
0.02,Smooth,5,0,0.25,8.680000000000001,0.22151898734177214,2.0,0.2857142857142857
0.02,MGL,2,0,0.25,133.59250000000003,0.9525316455696202,0.0,0.0
0.02,MGL,3,0,0.25,102.09250000000002,0.9145569620253164,0.0,0.0
0.02,MGL,5,0,0.25,68.91250000000001,0.870253164556962,0.0,0.0
